Subject,BrainVolumes
IXI188-Guys-0798,1402341.13152092
IXI189-Guys-0799,1382414.72718293
IXI191-Guys-0801,1443457.16573987
IXI192-Guys-0878,1366153.9815302
IXI193-Guys-0810,1343466.41078596
IXI194-Guys-0818,1426645.75628273
IXI195-HH-1620,1656036.31949608
IXI196-Guys-0805,1386348.39192443
IXI197-Guys-0811,1307647.14230897
IXI198-Guys-0803,1646389.10789697
IXI199-Guys-0802,1436050.84334677
IXI200-Guys-0812,1345601.72454547
IXI201-HH-1588,1259947.45375535
IXI202-HH-1526,1369928.95314158
IXI204-HH-1651,1332989.79280405
IXI205-HH-1649,1524086.32509853
IXI206-HH-1650,1221066.97492702
IXI207-Guys-0809,1448662.71790937
IXI208-Guys-0808,1602110.2144107
IXI209-Guys-0804,1518931.76994893
IXI210-Guys-0856,1609050.36108792
IXI211-HH-1568,1685458.19197409
IXI212-HH-1643,1395036.273582
IXI213-HH-1642,1250079.58034026
IXI214-HH-1636,1458430.8456118
IXI216-HH-1635,1510855.87824527
IXI217-HH-1638,1401017.26024286
IXI218-HH-1815,1535193.85918952
IXI219-Guys-0894,1315998.13036277
IXI221-HH-1606,1527990.33755343
IXI222-Guys-0819,1274917.9459236
IXI223-Guys-0830,1521071.41237857
IXI224-Guys-0823,1355015.74376724
IXI225-Guys-0832,1258048.87917393
IXI226-HH-1618,1429905.57529097
IXI227-Guys-0813,1232129.99160929
IXI228-Guys-0822,1291650.66093451
IXI229-Guys-0980,1543556.46467395
IXI230-IOP-0869,1324825.38832039
IXI231-IOP-0866,1396528.18242289
IXI232-IOP-0898,1376514.62497012
IXI233-IOP-0875,1185280.83793679
IXI234-IOP-0870,1384870.749858
IXI236-Guys-0817,1563983.05735085
IXI237-Guys-1049,1143666.33782443
IXI238-IOP-0883,1371182.81849346
IXI239-HH-2296,1297838.92347846
IXI240-Guys-0834,1384630.99457414
IXI241-Guys-0833,1670366.34733665
IXI242-HH-1722,1389666.17294499
IXI244-Guys-0841,1256504.90485883
IXI246-Guys-0840,1353608.85419209
IXI247-Guys-0838,1412754.5321703
IXI248-HH-1972,1283257.90724242
IXI249-Guys-1072,1248220.65499612
IXI250-Guys-0836,1410236.85146507
IXI251-Guys-1055,1244482.84179209
IXI252-HH-1693,1260768.87999092
IXI253-HH-1694,1537236.52801258
IXI254-HH-1705,1380182.82750081
IXI255-HH-1882,1336159.34582257
IXI256-HH-1723,1712391.33946043
IXI257-HH-1724,1362295.16704321
IXI258-HH-1769,1316732.92716049
IXI259-HH-1804,1164550.76451385
IXI260-HH-1805,1464540.13911774
IXI261-HH-1704,1411202.58384822
IXI262-HH-1861,1483033.01302426
IXI263-HH-1684,1410454.80978673
IXI264-Guys-0854,1314815.49778063
IXI265-Guys-0845,1483742.13447561
IXI266-Guys-0853,1297412.58308063
IXI267-HH-1772,1565812.63894374
IXI268-Guys-0858,1558847.673477
IXI269-Guys-0839,1614783.8324061
IXI270-Guys-0847,1446709.6741866
IXI274-HH-2294,1248594.94890792
IXI275-HH-1803,1613388.91071975
IXI276-HH-1840,1561719.42709177
IXI277-HH-1770,1254951.92902921
IXI278-HH-1771,1649399.551172
IXI279-Guys-1044,1447622.6993103
IXI280-HH-1860,1256101.20985801
IXI282-HH-2025,1492148.23526912
IXI284-HH-2354,1293286.57052899
IXI285-Guys-0857,1543323.66681425
IXI286-Guys-0859,1604765.4216683
