Subject,BrainVolumes
sub-0001,1689223
sub-0002,1465521
sub-0003,1622914
sub-0004,1714992
sub-0005,1590573
sub-0006,1448623.25756311
sub-0007,1684717
sub-0008,1513684
sub-0009,1527980
sub-0010,1869912
sub-0011,1465253
sub-0012,1687515
sub-0013,1574282
sub-0014,1632084
sub-0015,1573412
sub-0016,1493761
sub-0017,1699653
sub-0018,1374630
sub-0019,1518761
sub-0020,1495929
sub-0021,1608124
sub-0022,1351274
sub-0023,1627132
sub-0024,1504296
sub-0025,1394062
sub-0026,1618440
sub-0027,1675713
sub-0028,1477516
sub-0029,1506015
sub-0030,1417378
sub-0031,1522102
sub-0032,1389177
sub-0033,1558572
sub-0034,1849269
sub-0035,1565206
sub-0036,1442575
sub-0037,1522915
sub-0038,1518081
sub-0039,1681950
sub-0040,1630176
sub-0041,1652294
sub-0042,1684902
sub-0043,1751548
sub-0044,1513908
sub-0045,1495512
sub-0046,1598825
sub-0047,1683657
sub-0048,1561175
sub-0049,1342698
sub-0050,1469319
sub-0051,1524643
sub-0052,1781009
sub-0053,1685318
sub-0054,1433124
sub-0055,1794006
sub-0056,1616581
sub-0057,1637298
sub-0058,1717043
sub-0059,1651245
sub-0060,1738919
sub-0061,1647146
sub-0062,1525221
sub-0063,1591447
sub-0064,1566383
sub-0065,1706986
sub-0066,1809119
sub-0067,1561417
sub-0068,1580364
sub-0069,1666826
sub-0070,1556872
sub-0071,1629988
sub-0072,1498148
sub-0073,1454519
sub-0074,1324745
sub-0075,1532102
sub-0076,1513283
sub-0077,1584835
sub-0078,1399580
sub-0079,1609025
sub-0080,1719365
sub-0081,1649755
sub-0082,1574423
sub-0083,1597836
sub-0084,1529451
sub-0085,1442925
sub-0086,1634773
sub-0087,1549669
sub-0088,1387622
sub-0089,1556344
sub-0090,1499564
sub-0091,1333284
sub-0092,1597566
sub-0093,1617853
sub-0094,1687703
sub-0095,1673061
sub-0096,1643505
sub-0097,1791050
sub-0098,1609267
sub-0099,1798093
sub-0100,1343869
sub-0101,1500730
sub-0102,1609935
sub-0103,1619397
sub-0104,1437933
sub-0105,1582022
sub-0106,1627058
sub-0107,1598205
sub-0108,1542519
sub-0109,1548767
sub-0110,1401319
sub-0111,1528242
sub-0112,1402369
sub-0113,1422428
sub-0114,1234386
sub-0115,1629638
sub-0116,1358476
sub-0117,1634466
sub-0118,1847911
sub-0119,1526519
sub-0120,1566200
sub-0121,1631551
sub-0122,1364356
sub-0123,1855749
sub-0124,1527482
sub-0125,1561854
sub-0126,1582909
sub-0127,1489818
sub-0128,1732822
sub-0129,1638599
sub-0130,1601872
sub-0131,1757603
sub-0132,1567045
sub-0133,1746186
sub-0134,1576973
sub-0135,1622759
sub-0136,1605804
sub-0137,1818964
sub-0138,1395796
sub-0139,1673043
sub-0140,1546085
sub-0141,1507904
sub-0142,1501793
sub-0143,1514802
sub-0144,1735140
sub-0145,1590412
sub-0146,1470169
sub-0147,1771772
sub-0148,1537226
sub-0149,1471049
sub-0150,1637736
sub-0151,1549351
sub-0152,1566995
sub-0153,1513331
sub-0154,1618228
sub-0155,1567640
sub-0156,1619008
sub-0157,1479815
sub-0158,1421803
sub-0159,1672458
sub-0160,1529455
sub-0161,1471801
sub-0162,1542374
sub-0163,1429705
sub-0164,1529150
sub-0165,1707789
sub-0166,1529544
sub-0167,1417697
sub-0168,1575303
sub-0169,1471524
sub-0170,1366222
sub-0171,1535375
sub-0172,1583817
sub-0173,1628100
sub-0174,1718188
sub-0175,1586527
sub-0176,1408881
sub-0177,1756165
sub-0178,1388665
sub-0179,1722142
sub-0180,1808609
sub-0181,1643296
sub-0182,1717629
sub-0183,1579577
sub-0184,1480856
sub-0185,1840739
sub-0186,1775046
sub-0187,1719777
sub-0188,1691750
sub-0189,1736269
sub-0190,1758973
sub-0191,1474239
sub-0192,1625832
sub-0193,1591987
sub-0194,1694183
sub-0195,1645165
sub-0196,1699930
sub-0197,1569682
sub-0198,1573527
sub-0199,1450908
sub-0200,1608543
sub-0201,1607213
sub-0202,1740233
sub-0203,1579176
sub-0204,1488217
sub-0205,1717309
sub-0206,1587513
sub-0207,1575052
sub-0208,1735313
sub-0209,1580480
sub-0210,1661613
sub-0211,1790844
sub-0212,1520763
sub-0213,1434528
sub-0214,1604602
sub-0215,1551808
sub-0216,1500071
sub-0217,957109
sub-0218,1555706
sub-0219,1671777
sub-0220,1660757
sub-0221,1603489
sub-0222,1409397
sub-0223,1478089
sub-0224,1696926
sub-0225,1593078
sub-0226,1487922
sub-0227,1752059
sub-0228,1681545
sub-0229,1584392
sub-0230,1436641
sub-0231,1209600
sub-0232,1514524
sub-0233,1475016
sub-0234,1569174
sub-0235,1287089
sub-0236,1731998.44186926
sub-0237,1610008.02056134
sub-0238,1415110.24002028
sub-0239,1551565.20196795
sub-0240,1574289.83109128
sub-0241,1356650.9654718
sub-0242,1577076.24395549
sub-0243,1445814.4230071
sub-0244,1473527.86888433
sub-0245,1452006.99193292
sub-0246,1468244.73968875
sub-0247,1591985.57232799
sub-0248,1561680.6889009
sub-0249,1416378.05928814
sub-0250,1566305.84481061
sub-0251,1474252.05893087
sub-0252,1655281.58067513
sub-0253,1442246.22409475
sub-0254,1457862.54868945
sub-0255,1277823.73318006
sub-0256,1715878.13562942
sub-0257,1453998.18003178
sub-0258,1549133.85189259
sub-0259,1566996.65895653
sub-0260,1651899.90153909
sub-0261,1593027.13570476
sub-0262,1491951.50141766
