Subject,Left_aLEC.Volume,Left_aLEC.SurfaceArea,Right_aLEC.Volume,Right_aLEC.SurfaceArea,Left_pMEC.Volume,Left_pMEC.SurfaceArea,Right_pMEC.Volume,Right_pMEC.SurfaceArea,Left_Perirhinal.Volume,Left_Perirhinal.SurfaceArea,Right_Perirhinal.Volume,Right_Perirhinal.SurfaceArea,Left_Parahippocampal.Volume,Left_Parahippocampal.SurfaceArea,Right_Parahippocampal.Volume,Right_Parahippocampal.SurfaceArea,Left_DG_CA3.Volume,Left_DG_CA3.SurfaceArea,Right_DG_CA3.Volume,Right_DG_CA3.SurfaceArea,Left_CA1.Volume,Left_CA1.SurfaceArea,Right_CA1.Volume,Right_CA1.SurfaceArea,Left_Subiculum.Volume,Left_Subiculum.SurfaceArea,Right_Subiculum.Volume,Right_Subiculum.SurfaceArea
sub-0389,569.05121,551.575,554.04986,564.424,257.02313,305.171,383.03447,413.172,2211.19899,1237.91,1869.16821,1124.21,2849.25641,1619.69,2319.20871,1496.9,530.0477,592.764,545.04905,604.963,1577.14193,1448.18,1506.13554,1413,674.06066,734.918,890.0801,811.898
sub-0390,421.00421,379.939,483.00483,493.04,275.00275,309.502,265.00265,289.259,1842.01842,1041.3,1872.01872,1145.76,3022.03022,1495.96,2336.02336,1365.44,226.00226,343.255,562.00562,569.456,1146.01146,1175.22,1425.01425,1275.26,575.00575,644.68,581.00581,604.411
sub-0391,362,405.501,501,450.797,249,271.851,266,333.811,682,613.53,758,657.522,2124,1265.67,2233,1351.83,562,577.892,733,683.514,1542,1350.24,1593,1420.65,640,678.192,605,656.248
sub-0392,590.995272,498.552,499.996,425.305,344.99724,363.545,383.996928,380.587,2150.982792,1040.27,2021.983824,1109.3,2988.976088,1684.09,2824.9774,1582.53,636.994904,640.048,619.99504,644.793,1691.986464,1420.53,1772.985816,1507.01,696.994424,748.972,765.993872,741.162
sub-0393,594.03564,496.236,609.03654,530.407,330.0198,318.404,394.02364,389.685,1690.1014,956.878,1390.0834,905.002,2546.15276,1451.46,2576.15456,1432.68,589.03534,619.481,682.04092,682.865,1568.09408,1397.73,1656.09936,1447.72,693.04158,730.241,799.04794,768.369
sub-0394,563.986464,472.565,661.984112,555.991,288.993064,319.142,423.989824,424.274,1645.960496,956.122,1601.961552,922.252,2742.934168,1544.08,2225.946576,1327.71,495.988096,533.927,782.981208,711.064,1504.96388,1348.8,1781.957232,1515.27,714.98284,726.751,705.983056,720.079
sub-0395,529.01058,491.051,536.01072,514.295,244.00488,268.24,294.00588,311.38,1469.02938,836.547,1749.03498,1006.28,2801.05602,1508.71,2704.05408,1466.62,515.0103,579.095,628.01256,650.676,1531.03062,1405.97,1548.03096,1374.22,645.0129,682.438,648.01296,679.137
sub-0396,514.01028,495.196,488.00976,440.196,372.00744,366.934,312.00624,325.757,1544.03088,919.486,1366.02732,885.685,2388.04776,1362.52,2355.0471,1401.33,533.01066,548.679,654.01308,653.472,1517.03034,1405.25,1468.02936,1400.92,675.0135,709.812,658.01316,681.758
sub-0397,670.937597,603.364,588.945223,546.406,337.968566,386.307,350.967357,366.389,2199.7954,1110.85,1988.815023,1130.4,2282.787681,1331.2,2346.781729,1377.13,475.955732,509.562,529.95071,563.719,1390.870637,1259.83,1472.863011,1348.13,525.951082,599.548,594.944665,612.208
sub-0398,582.04656,513.96,502.04016,455.937,293.02344,336.275,411.03288,403.925,1543.12344,885.615,1462.11696,878.577,2529.20232,1463.47,2746.21968,1565.21,677.05416,674.185,795.0636,761.592,1795.1436,1588.2,1743.13944,1513.99,806.06448,809.33,807.06456,774.199
