Subject,Left_aLEC.Volume,Left_aLEC.SurfaceArea,Right_aLEC.Volume,Right_aLEC.SurfaceArea,Left_pMEC.Volume,Left_pMEC.SurfaceArea,Right_pMEC.Volume,Right_pMEC.SurfaceArea,Left_Perirhinal.Volume,Left_Perirhinal.SurfaceArea,Right_Perirhinal.Volume,Right_Perirhinal.SurfaceArea,Left_Parahippocampal.Volume,Left_Parahippocampal.SurfaceArea,Right_Parahippocampal.Volume,Right_Parahippocampal.SurfaceArea,Left_DG_CA3.Volume,Left_DG_CA3.SurfaceArea,Right_DG_CA3.Volume,Right_DG_CA3.SurfaceArea,Left_CA1.Volume,Left_CA1.SurfaceArea,Right_CA1.Volume,Right_CA1.SurfaceArea,Left_Subiculum.Volume,Left_Subiculum.SurfaceArea,Right_Subiculum.Volume,Right_Subiculum.SurfaceArea
sub-0001,658,599.812,599,535.385,347,418.404,389,397.026,2113,1129.98,2783,1448.19,3719,2035.35,3440,1852.11,832,806.377,762,793.67,2084,1757.97,1997,1696.94,796,861.944,891,890.612
sub-0002,715,610.13,598,559.996,314,386.22,375,375.062,1709,1023.2,1932,1143.81,3026,1743.89,3170,1684.74,646,659.131,682,677.881,1657,1481.21,1838,1524.27,718,795.701,824,810.273
sub-0003,748,632.474,832,697.136,383,395.76,475,424.886,1485,945.002,1743,979.363,2743,1580.04,2964,1671.07,630,631.052,815,790.411,1866,1565.72,1897,1685.62,1088,975.829,1156,1031.58
sub-0004,717,619.487,768,683.29,332,376.642,531,509.47,960,717.773,2225,1409.78,4098,2017.3,3926,1949.06,706,720.64,715,706.712,1986,1719.1,1923,1605.17,1008,946.51,994,833.427
sub-0005,752,632.257,721,612.205,306,327.732,377,371.47,2001,1087.28,2316,1259.78,3079,1708.69,3468,1784.01,779,765.704,786,762.005,2149,1795.22,1970,1673.36,826,839.461,1034,926.382
sub-0006,649.2,589.679,642,564.202,324,342.438,474,443.539,1995.6,1086.13,1530,1010.17,3112.8,1649.71,2782.8,1541.36,714,698.051,775.2,723.877,1911.6,1629.19,1858.8,1596.97,831.6,821.875,1023.6,914.274
sub-0007,868,740.449,657,522.338,298,345.002,379,393.375,1171,966.453,1424,909.273,3207,1749.29,2917,1728.02,670,677.008,955,811.505,2048,1683.56,2076,1690.93,1041,1004.32,928,868.89
sub-0008,797,604.269,660,568.294,350,353.619,437,411.725,1622,906.869,1281,867.079,2450,1439.72,2633,1514.07,758,781.438,843,779.48,1802,1599.75,1855,1579.5,706,766.209,839,826.261
sub-0009,551,536.295,686,569.623,204,327.277,430,431.893,2350,1277.84,1890,1141.79,2969,1629.71,2992,1732.67,545,587.317,716,695.434,1869,1563.45,1782,1586.68,903,853.802,856,822.687
sub-0010,792,695.229,684,606.896,336,379.039,443,436.959,2216,1162.95,2499,1259.71,2683,1569.37,3429,1739.57,900,821.175,988,830.992,2047,1815.1,2296,1803.5,985,950.111,883,874.512
sub-0011,522,467.452,541,481.147,357,379.88,417,397.117,2112,1042.91,1902,1035.22,3120,1649.34,2565,1437.2,652,646.979,853,779.171,1693,1490.03,1815,1566.92,763,748.84,802,748.611
sub-0012,724,647.877,620,529.513,259,303.511,368,364.242,2510,1430.92,1886,1081.82,3117,1754,3279,1793.42,620,626.766,984,861.984,2033,1614.08,2269,1786.7,1096,934.144,1119,953.463
sub-0013,625,562.926,644,549.185,327,352.364,370,392.562,1625,921.937,1849,1051.32,2600,1707.08,3055,1676.8,513,601.908,647,661.099,1583,1416.76,1683,1453.28,837,866.555,841,811.821
sub-0014,715,606.839,726,600.465,350,394.244,437,452.403,2101,1111.67,1897,1056.39,3083,1704.47,2842,1647.61,543,551.323,724,681.206,1638,1375.22,1887,1594.91,805,771.358,874,795.808
sub-0015,725,615.814,799,641.756,345,352.771,420,401.937,2064,1118.45,2065,1081.18,2771,1536.64,2901,1635.22,698,738.279,894,809.185,1935,1642.93,1831,1571.67,1116,1011.65,1034,914.121
sub-0016,758,630.428,503,506.178,349,379.289,477,444.192,2301,1174.74,1973,1085.26,3470,1845.1,2758,1529.04,657,644.678,730,669.633,1846,1562.71,1727,1483.73,822,795.787,733,733.986
sub-0017,704,623.155,543,468.726,323,311.639,329,358.763,2247,1229.85,2479,1241.05,3737,1864.54,3038,1728.7,764,729.948,874,801.55,2222,1711.6,1823,1597.8,994,895.266,926,821.823
sub-0018,562,499.187,480,455.049,381,384.284,474,466.688,1053,736.32,1384,856.346,2710,1504.13,2399,1408.23,610,634.216,794,743.553,1767,1563.32,1845,1582.03,915,886.013,863,823.99
sub-0019,721,642.601,586,511.748,298,328.958,294,341.814,1733,1024.2,1178,850.188,3335,1793.5,2773,1563.49,926,807.766,777,753.867,2214,1757.35,2150,1772.81,919,906.88,967,896.875
sub-0020,725,615.242,737,625.964,375,382.605,446,441.281,731,560.232,802,612.803,3038,1802.62,2603,1501.22,723,742.976,841,783.489,1948,1687.11,1835,1576.55,914,981.17,915,908.492
sub-0021,746,643.874,727,657.14,330,324.223,425,462.146,2859,1420.38,1528,993.775,3253,1834.58,2803,1637.95,486,565.347,952,858.028,1704,1547.19,2281,1786.91,1175,1009.91,1054,962.682
sub-0022,653,558.156,593,524.195,350,372.636,323,350.306,1090,785.458,1167,756.256,2533,1544.27,2683,1613.68,580,658.432,682,692.68,1891,1598.34,1779,1542.03,984,977.831,949,874.536
sub-0023,670,609.807,569,496.495,398,450.015,352,378.452,2260,1229.13,2343,1217.95,3751,2078.02,3748,2009.68,566,619.7,559,549.695,1687,1526.78,1731,1480.43,869,802.751,953,812.529
sub-0024,579,510.053,527,494.391,356,366.824,476,438.126,1446,881.813,1559,1046.34,2991,1627.85,2845,1621.54,748,750.469,815,749.529,2016,1729.06,2112,1739.23,892,883.434,916,848.898
sub-0025,627,569.563,657,538.815,352,345.07,376,381.831,1320,870.499,1634,1065.75,3120,1753.36,3591,1859.9,731,693.147,764,737.331,1947,1579.07,1978,1627.08,1015,933.873,1057,929.992
sub-0026,625,554.487,709,591.281,366,371.025,445,424.2,2591,1300.47,2266,1215.21,3494,1975.26,2869,1664.48,520,550.668,1009,850.723,1535,1384.82,1997,1693.26,787,743.569,811,764.286
sub-0027,623,544.043,586,524.638,404,402.33,455,420.772,2511,1305.71,2543,1417.72,4459,2243.69,4111,2178.81,748,753.106,791,848.22,1837,1611.14,1892,1693.45,889,899.404,1022,1002.42
sub-0028,576,555.9,522,515.753,309,359.41,375,402.213,1766,1048.7,1818,1065.44,3116,1855.13,3047,1667.84,496,540.904,633,664.173,1708,1436.17,1801,1520.64,975,865.449,1037,882.072
sub-0029,657,573.977,610,529.938,398,382.629,356,357.395,1627,949.263,1637,1009.96,2577,1495.18,2896,1685.2,545,619.424,725,759.68,1919,1672.03,1884,1634.54,978,958.115,1005,942.783
sub-0030,717,668.891,662,585.937,339,382.93,380,383.377,1624,946.213,2139,1155.69,2938,1668.36,2981,1724.41,511,571.966,609,658.268,1620,1424.78,1800,1539.84,895,875.653,912,850.147
sub-0031,532,474.309,529,478.309,361,370.97,320,366.628,1238,782.971,1520,946.479,2924,1653.21,2416,1480.72,747,738.482,692,655.248,2027,1693.38,1837,1526.35,863,869.41,782,737.788
sub-0032,569,539.575,541,535.588,293,365.994,326,347.216,1071,711.236,1820,1195.64,2555,1488.16,2575,1539.65,632,663.794,644,636.52,1468,1389.04,1721,1483.84,702,736.425,829,776.355
sub-0033,591,560.579,549,529.719,292,320.372,372,387.742,2118,1180.06,2096,1190.54,3272,1786.76,3037,1699.72,706,739.787,820,801.191,1907,1651.93,1834,1636.58,886,885.456,943,938.568
sub-0034,654,559.73,686,597.538,507,467.595,442,428.468,1945,1073.68,1548,967.451,3526,1929.06,3170,1770.27,845,809.793,1037,869.26,2247,1891.52,2289,1807.25,940,955.972,922,915.264
sub-0035,603,532.71,636,550.165,318,346.425,419,401.855,1770,1024.67,1658,1091.92,2940,1583.58,2982,1593.78,614,628.937,704,698.868,1679,1507.76,1714,1538.04,968,931.619,1009,954.901
sub-0036,617,562.551,581,503.287,332,368.876,368,389.117,1706,997.612,2311,1195.91,2922,1635.66,3443,1842.01,603,587.557,781,711.783,1769,1494.47,1858,1577.55,928,862.266,861,791.593
sub-0037,613,539.402,565,491.286,302,367.117,429,408.662,2007,1037.71,2310,1276.69,3257,1728.98,3650,1934.17,806,797.811,835,811.983,1791,1668.61,1643,1478.92,780,808.655,863,829.323
sub-0038,553,504.457,567,513.143,295,302.092,348,346.911,2414,1190.18,2735,1453.95,3331,1864.54,3005,1723.66,666,689.503,711,713.721,1759,1603.47,1785,1602.68,765,799.079,843,828.781
sub-0039,658,510.7,579,484.6,349,377.521,448,469.54,1872,996.861,1811,984.717,3388,1881.47,3232,1734.87,824,853.026,1038,901.437,1799,1736.9,1877,1632.1,736,791.702,757,755.393
sub-0040,581,530.306,631,532.026,420,411.739,521,434.478,1871,1085.75,1718,1077.17,3415,1800.76,4158,2024.47,963,862.479,994,867.685,2163,1827.25,1997,1754.05,851,860.019,1038,950.124
sub-0041,612,556.812,633,574.232,370,374.277,380,377.009,1802,1029.05,2029,1220.78,3015,1638.16,3124,1651.93,675,666.015,813,754.231,1893,1611.33,1854,1573.76,993,935.458,939,842.903
sub-0042,642,534.049,578,521.707,363,365.678,414,413.235,1696,943.98,1737,1060.72,4002,2125.62,3157,1734.84,627,669.856,796,770.709,1732,1581.34,1616,1481.84,911,925.161,830,832.927
sub-0043,602,554.499,489,512.478,324,392.749,409,441.632,1507,1051.77,1712,1082.98,2999,1840.81,3100,1848.99,540,642.615,723,773.549,1890,1802.98,2085,1826.18,874,843.865,892,884.937
sub-0044,467,468.152,521,504.198,392,414.024,457,459.522,1630,1056.79,1778,1072.06,2987,1602.8,2894,1612.04,741,748.61,900,809.734,1963,1751.69,1979,1670.03,899,884.4,836,785.956
sub-0045,582,524.546,515,463.385,319,343.372,383,383.679,2049,1033.95,2003,1041.38,3716,1975.62,3353,1698.2,678,682.048,741,705.952,1891,1569.89,1863,1557.63,838,819.429,888,806.672
sub-0046,704,605.849,742,642.493,439,430.455,495,498.349,1631,956.753,1877,1063.53,3057,1703.18,2795,1645.03,692,737.798,796,762.646,1967,1720.85,1951,1694.09,1038,995.575,1037,984.248
sub-0047,773,688.421,666,610.588,367,383.11,384,396.334,2488,1315.08,2803,1497.81,3517,1927.73,3543,1807.18,529,560.6,697,716.203,1664,1453.24,1988,1627.46,942,886.906,905,831.712
sub-0048,764,675.471,626,665.178,337,342.628,406,408.331,2009,1117.8,1753,1115.81,2570,1525.58,2508,1416.71,481,485.264,772,750.192,1189,1129.92,1787,1552.18,719,729.638,832,819.836
sub-0049,506,484.982,509,481.109,303,365.699,337,379.427,1549,1018.83,1547,1024.52,3197,1743.22,3025,1698.15,640,662.759,671,649.794,1502,1407.58,1593,1431.3,800,789.076,872,767.324
sub-0050,555,512.32,599,522.454,282,300.716,348,338.262,2687,1415.99,2456,1453.81,2961,1670.15,2943,1544.47,692,707.661,744,761.691,2072,1808.79,1823,1576.57,769,783.42,843,807.323
sub-0051,720,658.281,617,574.696,337,360.049,300,341.05,2018,1162.99,2064,1103.99,2423,1566.66,3146,1803.57,761,726.197,754,739.169,2001,1667.06,1891,1563.62,781,800.133,787,792.618
sub-0052,647,559.523,610,529.749,353,365.191,417,410.964,2898,1422.23,2780,1420.55,3275,1839.19,3025,1681.18,686,653.351,841,750.752,1945,1625.73,1983,1628.68,1049,943.454,968,846.403
sub-0053,689,602.367,633,560.342,409,411.565,489,452.211,2711,1332.97,2123,1214.76,3769,1987.26,3042,1673.32,760,746.578,913,863.179,1875,1621.42,1977,1743.88,804,789.698,878,857.641
sub-0054,612,526.252,597,531.62,352,368.121,387,375.795,1855,1010.32,2105,1104.15,2351,1364.64,3095,1741.82,728,710.062,723,704.174,1761,1491.25,1760,1436.84,690,710.168,815,784.278
sub-0055,716,639.684,681,592.695,322,350.614,381,441.525,2731,1424.76,2773,1486.43,2896,1687.59,3162,1834.73,535,550.584,744,740.931,2035,1782.25,1921,1669.04,1044,944.957,1003,897.717
sub-0056,651,542.92,632,565.816,276,329.477,409,420.823,1990,1104.11,1948,1088.09,2942,1682.73,2730,1532.9,812,770.712,865,755.169,2120,1801.37,2127,1712.31,1077,958.188,1054,875.802
sub-0057,615,587.934,669,580.601,303,350.367,504,503.531,2152,1464.88,2191,1427.29,3162,1892.02,3272,1720.74,477,560.397,526,559.738,1671,1548.07,1446,1293.41,854,944.196,864,789.541
sub-0058,790,673.752,706,610.944,364,360.125,322,345.58,1744,1049.5,2206,1249.81,2938,1658.23,3173,1775.27,793,795.636,921,880.931,2070,1765.45,2166,1848.67,953,948.526,962,956.447
sub-0059,579,528.943,636,565.362,336,376.194,408,427.839,2209,1309.4,2459,1292.31,3805,1900.36,3172,1720.36,709,722.194,803,764.72,1905,1625.89,1834,1587.43,983,938.369,927,854.885
sub-0060,665,547.263,559,505.435,419,378.396,438,433.446,1255,793.505,1482,873.281,2483,1667.97,2852,1681.08,741,748.843,920,843.573,1982,1767.99,1961,1727.23,859,919.473,932,931.21
sub-0061,812,650.547,720,586.073,354,342.898,431,433.921,1834,1003.24,1892,1055.66,3330,1801.44,2960,1702.32,721,708.419,918,825.066,2091,1720.06,2046,1681.33,955,914.551,869,838.885
sub-0062,636,548.686,563,519.203,310,341.371,361,391.815,2072,1112.36,2152,1169.48,2842,1741.49,2298,1422.63,730,742.172,773,746.05,1731,1631.35,1716,1601.17,721,786.23,740,759.077
sub-0063,594,584.887,663,555.38,317,357.051,422,457.839,2685,1398.92,2871,1415.96,4046,2111.5,3394,1820.6,444,522.478,735,689.146,1554,1341.48,2051,1612.19,963,817.307,887,733.158
sub-0064,554,525.077,638,574.39,261,298.136,322,333.542,1965,1031.46,1662,1066.17,3293,1862.03,2641,1552.95,533,617.935,661,661.159,1788,1519.53,1807,1528.01,965,958.783,914,851.804
sub-0065,807,661.613,714,661.331,329,378.41,413,444.815,1618,1033.02,1283,912.923,3526,1845.41,3334,1727.22,605,601.333,797,741.706,1812,1488.02,2004,1660.16,1142,945.476,1084,880.6
sub-0066,562,522.168,625,554.512,293,344.583,443,427.987,1964,1092.25,1641,1032.01,3437,1861.97,2997,1765.14,544,608.429,678,680.694,1924,1627.37,1731,1509.19,837,852.987,855,812.725
sub-0067,661,587.594,517,483.652,335,362.386,402,404.148,1849,1030.46,2280,1159.02,2435,1604.38,3431,1809.69,541,559.873,787,773.109,1837,1590.47,1852,1601.87,924,850.674,948,875.538
sub-0068,598,537.981,534,493.072,389,419.622,376,356.692,1701,1042.79,1711,1007.21,3745,1859.63,3657,1973.77,543,576.898,638,657.936,1692,1464.37,1894,1592.12,1047,887.27,932,824.798
sub-0069,798,621.985,742,629.241,430,431.977,439,420.52,1900,1049.87,2524,1322.27,3281,1873.75,3494,1831.91,840,804.321,831,786.498,2064,1771.04,2083,1689.6,936,924.221,1030,923.083
sub-0070,669,609.783,810,699.838,314,354.121,326,357.26,1428,1022.3,2328,1232.52,2691,1541.58,3103,1742.64,888,803.375,969,836.743,2012,1713.61,2088,1705.06,837,821.343,904,867.182
sub-0071,609,562.159,597,523.023,327,350.858,356,363.245,2639,1338.58,2714,1351.63,3272,1834.77,3410,1787.57,768,751.146,846,798.237,1824,1589.15,1822,1550.7,790,813.303,904,867.896
sub-0072,720,617.669,604,537.161,388,408.494,430,410.297,2134,1158.71,1400,890.178,3199,1742.24,2870,1581.64,580,579.78,876,786.685,1720,1442.11,1842,1548.82,955,823.984,869,804.591
sub-0073,679,588.971,482,476.401,420,401.604,404,390.052,1273,865.648,1743,1026.2,2619,1475.18,2597,1602.03,726,727.118,816,775.013,1939,1705.26,1922,1644.16,819,839.364,938,871.964
sub-0074,699,584.98,566,492.885,338,382.257,366,395.561,618,533.123,852,635.3,2310,1403.22,2204,1348.05,622,656.9,659,650.218,1508,1446.8,1449,1357.83,937,940.005,884,845.123
sub-0075,615,537.929,733,609.08,373,384.15,482,459.531,2198,1147.58,2619,1320.64,2864,1696,3101,1690.73,845,771.89,882,796.496,1905,1668.49,1944,1662.24,787,823.304,911,838.473
sub-0076,595,542.722,613,554.253,361,364.431,392,403.024,2200,1236.64,1945,1080.1,2918,1700.83,2971,1585.92,493,489.9,819,758.571,1448,1241.41,1792,1536.61,866,796.65,889,841.142
sub-0077,639,578.44,779,644.395,394,373.14,473,444.226,1636,917.898,1771,1013.66,3256,1810.3,3045,1704.44,683,726.388,808,766.998,2036,1733.06,1970,1660.89,1008,992.614,1067,973.102
sub-0078,624,558.663,375,409.838,376,418.75,440,402.167,740,614.412,945,757.407,2676,1551.2,2613,1541.19,424,509.451,702,686.945,1496,1458.98,1696,1526.09,911,861.102,877,849.911
sub-0079,679,598.072,764,670.946,335,355.541,506,483.789,1780,1024.47,1496,971.262,3345,1878.88,2898,1697.76,527,552.481,826,769.643,1541,1348.77,1914,1656.4,920,844.027,909,841.907
sub-0080,535,510.358,520,480.522,327,351.766,415,402.265,2316,1169.47,2654,1309.01,3127,1752.91,3512,1836.54,732,738.009,821,775.522,2126,1733.11,2040,1693.58,829,841.398,1000,931.232
sub-0081,781,639.094,800,678.749,397,375.509,404,397.986,1919,1028.46,1524,1009.39,2651,1515.15,3264,1724.93,874,831.561,1179,974.807,2155,1907.23,2065,1784.16,878,915.603,862,888.537
sub-0082,638,577.53,669,592.187,454,478.432,464,445.923,1387,930.963,1578,997.008,3583,1940.73,3416,1877.33,777,756.511,787,737.235,2009,1697.81,2031,1697.59,901,908.996,969,942.723
sub-0083,776,648.36,789,655.546,300,310.571,405,404.733,2105,1217.61,2789,1621.25,3261,1751.79,3074,1688.56,672,670.783,741,702.987,1918,1566.9,2043,1704.92,854,836.654,932,848.494
sub-0084,553,484.695,506,457.136,333,364.019,389,378.583,1777,1044.05,1629,1001.85,3285,1739.77,3522,1851.22,690,700.463,851,810.369,1852,1556.1,2046,1781.52,901,829.692,1061,935.635
sub-0085,643,545.304,657,573.729,290,303.238,345,357.685,1534,929.532,2026,1137.75,2292,1497.84,2697,1559.61,488,546.707,604,594.254,1560,1349.75,1458,1289.36,778,773.447,702,711.421
sub-0086,839,676.725,716,603.979,409,378.142,453,407.64,1825,979.706,1722,1049.63,3224,1733.39,3351,1783.31,635,669.628,773,790.273,1989,1644.3,1975,1665.66,1002,979.746,1047,964.85
sub-0087,676,570.127,722,601.06,415,388.059,520,487.29,1673,968.812,1797,982.884,2864,1625.98,2576,1537.85,587,634.507,753,707.197,1776,1568.21,1804,1541.48,918,906.236,809,758.643
sub-0088,494,470.834,522,479.711,262,293.639,363,371.391,1638,991.764,1769,1002.75,2877,1603.36,2842,1630.26,710,726.402,786,731.74,1809,1566.88,1747,1542.49,893,896.849,924,851.491
sub-0089,783,631.318,742,597.967,402,377.752,473,423.779,1318,854.674,1479,902.805,3215,1747.72,2532,1450.68,629,690.203,870,762.631,2168,1760.34,2262,1718.44,974,883.114,966,868.298
sub-0090,616,548.399,652,574.865,319,335.471,443,445.988,2361,1160.36,2144,1211.39,3063,1632.22,2508,1440.35,566,602.625,594,616.689,1656,1408.76,1766,1438.09,802,807.747,801,727.629
sub-0091,579,539.787,699,609.803,332,365.378,359,358.569,1336,831.348,1387,897.843,2719,1518.69,3044,1650.07,694,663.295,803,733.45,1720,1514.63,1724,1519.27,775,805.961,862,858.148
sub-0092,677,578.239,658,554.442,304,331.074,355,358.91,2380,1181.35,2333,1176.11,2897,1621.54,2770,1620.19,598,592.174,861,778.746,1813,1525.81,1845,1602.78,795,741.93,859,780.794
sub-0093,694,652.952,657,648.427,321,381.935,372,365.419,1858,1031.67,1761,989.72,2517,1497.11,3236,1803.7,671,662.672,821,745.213,1895,1611.93,1766,1520.33,786,822.186,867,865.605
sub-0094,806,614.579,691,563.401,397,391.404,373,379.2,1676,944.893,2164,1128.17,3211,1783.18,3039,1691.16,590,598.723,769,742.074,1886,1596.44,2195,1826.05,844,814.968,760,706.548
sub-0095,723,608.723,513,478.438,315,352.136,249,297.904,1828,1063.15,1990,1222.41,2317,1433.44,3031,1840.72,723,732.533,739,730.427,1780,1559.59,1904,1600.28,656,710.15,811,800.879
sub-0096,539,494.967,642,546.041,305,348.052,422,449.254,2230,1193.65,1944,1224.68,3673,1930.31,3075,1681.89,533,529.662,384,428.224,1502,1289.53,1331,1295.35,728,679.192,777,706.215
sub-0097,676,661.669,671,580.146,210,260.848,264,324.903,2314,1276.85,2481,1338.69,3075,1725.39,3412,2122.96,775,863.213,1083,1020.69,2462,2098.91,2383,1906.41,1011,949.686,1047,1055.27
sub-0098,599,511.729,589,554.879,406,408.16,422,398.028,1606,982.29,1608,1004.59,2606,1486.76,2545,1442.77,647,654.8,752,702.595,1802,1522.64,1793,1499.52,730,718.814,905,821.789
sub-0099,691,620.562,603,555.323,371,376.596,440,466.473,2918,1492.71,2816,1397.26,3662,2075.41,3822,1979.89,748,765.338,845,805.019,2396,2037.75,2016,1705.58,919,960.324,902,872.878
sub-0100,562,523.641,527,504.289,335,339.319,300,320.52,1340,832.366,1046,770.971,2463,1423.81,2403,1426.47,564,616.519,630,643.849,1482,1381.29,1546,1428.64,796,800.507,780,763.263
sub-0101,580,538.902,653,603.986,344,350.363,326,351.945,1382,884.694,881,779.316,2964,1770.4,2800,1477.08,640,706.734,760,748.036,1674,1533.42,1635,1510.79,766,844.081,839,892.115
sub-0102,715,632.803,714,620.563,406,393.352,387,394.639,2010,1094.14,2649,1342.74,3159,1712.1,2924,1658.78,792,804.109,984,876.636,2263,1799.73,1966,1700.8,995,979.737,935,888.968
sub-0103,645,590.095,564,500.629,254,296.932,349,384.818,2291,1302.33,2952,1474.45,3483,1920.71,3381,1771.49,628,621.354,810,729.71,1895,1551.35,2012,1611.31,734,749.715,714,701.035
sub-0104,671,626.409,675,620.341,340,345.726,391,381.048,2007,1071,2400,1243.6,2720,1586.78,2719,1475.99,710,678.533,766,711.074,1675,1461.72,1733,1446.12,761,781.031,914,847.062
sub-0105,588,530.425,693,591.304,360,385.179,397,415.352,1692,943.753,2198,1183.76,2620,1448.9,2890,1624.05,755,752.13,751,718.74,1902,1705.8,1932,1644.92,798,830.306,820,782.716
sub-0106,563,512.378,605,508.188,255,314.735,280,306.485,2523,1315.91,2936,1381.28,3696,1912.07,3610,1914.66,528,603.609,1038,891.509,1725,1532.56,2237,1794.52,733,713.385,821,786.463
sub-0107,669,563.172,577,508.671,261,272.786,359,352.883,2020,1080.26,1381,872.986,3167,1812.01,3138,1673.56,713,752.949,804,764.52,1927,1690.51,1775,1528.71,1085,1032.53,1107,997.864
sub-0108,655,573.662,738,590.642,288,316.287,378,394.85,2400,1268.32,2531,1256.68,3509,1877.98,2789,1601.46,754,734.419,863,778.168,1999,1639.06,2028,1699.73,753,756.473,798,782.162
sub-0109,603,577.712,559,521.29,349,385.969,395,411.434,2359,1333.76,2352,1178.38,3361,1855.55,3163,1727.12,556,618.467,762,744.37,2010,1719.75,1753,1558.17,957,970.854,911,861.989
sub-0110,669,619.361,563,574.327,269,336.409,416,409.709,1700,1009.7,1925,1127.04,2989,1573.52,2611,1472.71,605,643.286,582,631.336,1642,1456.16,1728,1486.28,906,859.169,901,810.146
sub-0111,653,568.648,580,532.547,267,320.745,294,304.533,2269,1181.69,2605,1424.07,2915,1640.92,3155,1682.42,657,682.992,664,683.139,1592,1460.18,1702,1479.38,661,714.101,700,715.555
sub-0112,519,482.236,499,454.876,347,355.825,409,388.356,1659,929.744,1966,1068.43,2656,1544.69,2518,1514.86,617,639.212,767,718.232,1680,1485.55,1715,1497.26,811,819.517,798,767.683
sub-0113,505,490.93,591,499.127,392,391.455,401,398,2230,1226.5,1939,1095.94,2804,1566.18,2653,1564.52,649,655.976,767,766.209,1595,1388.54,1743,1468.89,738,733.346,859,813.834
sub-0114,585,510.073,655,572.865,301,320.693,325,352.942,1599,898.949,1372,836.766,2637,1560.28,2298,1422.44,560,577.466,675,671.361,1465,1357.34,1568,1453.21,776,763.421,771,734.975
sub-0115,604,517.3,640,547.913,379,370.593,488,449.12,1856,1040.63,2124,1244.04,2829,1670.73,2738,1558.39,685,696.907,788,755.237,1758,1582.93,1787,1555.8,846,855.649,899,851.748
sub-0116,591,514.819,571,507.801,366,378.12,466,437.383,1309,847.082,1252,837.922,2914,1571.64,2791,1627.99,685,671.138,779,729.656,1538,1432.02,1574,1417.28,744,761.701,808,775.357
sub-0117,626,548.587,516,485.919,371,362.891,391,371.272,1695,922.455,1661,989.276,3469,1852.07,3351,1761.08,800,778.815,846,783.532,1929,1700.66,2003,1697.74,693,771.354,810,829.442
sub-0118,658,549.937,696,582.719,359,338.161,396,377.978,2428,1245.12,2019,1134.25,3883,2004.95,3585,1929.87,738,720.038,860,795.114,2003,1717.11,2055,1733.26,965,930.651,964,899.52
sub-0119,663,548.389,686,560.464,369,370.165,443,428.93,1648,995.309,1867,1031.08,3564,1800.1,2894,1697.89,698,686.613,760,704.84,1832,1600.77,1829,1565.92,1076,982.129,900,812.003
sub-0120,515,482.262,509,456.047,331,344.125,445,413.353,917,684.833,1101,777.976,2417,1400.99,2063,1311.67,738,734.351,818,736.799,2034,1743.7,1925,1620.2,835,829.528,821,794.938
sub-0121,693,620.144,875,696.132,448,450.906,463,433.018,1336,930.455,2234,1246.62,3422,1766.62,3321,1720.78,584,578.533,927,809.431,2166,1696.9,2107,1713.78,1124,970.06,999,907.452
sub-0122,647,594.788,630,541.733,299,346.836,430,423.165,1123,762.548,1118,789.091,2502,1437.04,2587,1524.73,756,723.142,845,770.02,1885,1682.9,1795,1609.65,819,877.89,934,892.42
sub-0123,688,598.422,726,597.426,340,348.499,351,354.983,2615,1328.83,2181,1182.51,3829,2107.93,3804,2062.76,818,769.235,878,807.34,2227,1788.55,2306,1802.31,997,928.343,964,885.206
sub-0124,580,515.226,548,496.387,394,391.82,412,383.516,1737,983.965,1781,976.518,2758,1612.15,2172,1375.85,600,671.993,867,804.54,1868,1663.22,1726,1576.57,853,888.146,845,847.259
sub-0125,619,547.372,726,611.634,334,356.309,367,385.796,1148,783.199,1712,1035.26,3017,1812.35,3351,1884.29,683,735.684,821,806.136,2073,1788.62,2003,1718.87,1099,1093.74,1174,1056.8
sub-0126,649,592.825,603,587.968,399,406.013,410,409.871,1365,942.577,1621,1153.48,2509,1605.08,2815,1713.11,800,770.081,720,707.487,1999,1729.24,2069,1772.53,908,915.812,1061,918.487
sub-0127,562,509.367,623,534.955,349,382.298,421,418.232,2317,1206.73,2454,1332.6,2959,1628.23,2929,1719.76,664,674.709,715,729.879,1720,1510.65,1670,1502.37,809,805.924,913,876.254
sub-0128,638,559.075,577,522.401,491,499.597,412,438.232,1964,1141.14,2539,1384.36,3637,1859.17,3536,1939.11,879,797.75,917,798.736,2147,1775.68,2211,1775.01,965,917.896,1016,910.345
sub-0129,663,648.106,702,624.012,369,418.541,366,385.654,2024,1136.61,2300,1205.41,3573,1921.48,3182,1835.32,667,678.614,818,761.719,1804,1544.82,1982,1673.79,987,966.392,934,889.35
sub-0130,717,622.743,687,603.491,402,401.366,406,402.355,1739,1063.81,1846,1034.85,3021,1666.3,2983,1693.48,682,713.894,819,786.96,1803,1632.98,1735,1577.42,1007,1060.7,987,963.261
sub-0131,705,608.354,707,614.418,364,376.085,424,440.05,1968,1112.71,2363,1237.23,3814,2074.85,2984,1748.92,721,736.206,802,768.632,2163,1774.46,2150,1741.05,996,955.059,1051,921.756
sub-0132,653,551.574,681,553.413,268,303.458,378,377.943,2867,1436.88,2394,1335.66,3746,2097.13,4072,2058.97,513,574.233,651,669.624,1696,1499.46,1877,1564.57,826,783.796,842,761.801
sub-0133,701,634.407,802,687.396,362,391.004,462,464.476,1286,841.894,1933,1181.25,2806,1606.17,2867,1653.64,711,730.939,677,704.855,1955,1716.82,1910,1581.85,1135,1090.73,1196,1072.12
