Subject,BrainVolumes
sub-0267,1379088.83865631
sub-0268,1748725.38084364
sub-0269,1549447.87741351
sub-0270,1507871.21643806
sub-0271,1570628.05363297
sub-0272,1424714.68864977
sub-0273,1367872.72221959
sub-0274,1623718.29203367
sub-0275,1427714.78842026
sub-0276,1230625.01943147
sub-0277,1363305.28052068
sub-0278,1423795.72758079
sub-0279,1481871.14953208
sub-0280,1557788.42807865
sub-0281,1518470.843153
sub-0282,1626028.54808927
sub-0283,1278654.34739089
sub-0284,1688166.29448938
sub-0285,1528560.0114435
sub-0286,1292867.69533801
sub-0287,1289113.71031523
sub-0288,1634945.30474854
sub-0289,1419053.1691643
sub-0290,1433325.16645879
sub-0291,1588968.7909373
sub-0292,1346841.62745774
sub-0293,1551281.99294472
sub-0294,1635353.88459444
sub-0295,1465628.28086758
sub-0296,1637294.18208683
sub-0297,1435746.86824703
sub-0298,1301064.38708127
sub-0299,1592916.88867795
sub-0300,1656030.3397994
sub-0301,1417180.99123669
sub-0302,1444457.75992001
sub-0303,1308389.23841413
sub-0304,1353327.94939518
sub-0305,1594191.68800896
sub-0306,1394325.32836393
sub-0307,1504768.87494123
sub-0308,1512393.90211964
sub-0309,1564632.78681636
sub-0310,1433052.25966012
sub-0311,1424279.479002
sub-0312,1551033.73648107
sub-0313,1368832.86995494
sub-0314,1190435.20453048
sub-0315,1310445.38884163
sub-0316,1291417.68361869
sub-0317,1596405.3496421
sub-0318,1327443.53206136
sub-0319,1312974.77147043
sub-0320,1315301.29537165
sub-0321,1419484.73683119
sub-0322,1496365.86978954
sub-0323,1410396.30012989
sub-0324,1511267.69442463
sub-0325,1409752.89163053
sub-0326,1614641.96383238
sub-0327,1476270.48985748
sub-0328,1557567.94382047
sub-0329,1504984.92709351
sub-0330,1414446.53025413
sub-0331,1620418.08899652
sub-0332,1597026.17537109
sub-0333,1687528.55085635
sub-0334,1334330.72150838
sub-0335,1382022.601475
sub-0336,1286373.67147744
sub-0337,1365342.68798049
sub-0338,1519693.63119854
sub-0339,1389018.71073246
sub-0340,1650581.73937726
sub-0341,1560428.74468517
sub-0342,1457710.10292386
sub-0343,1381039.70116425
sub-0344,1540512.86277497
sub-0345,1404626.46961784
sub-0346,1585017.13419163
sub-0347,1447478.3540349
sub-0348,1276612.62606497
sub-0349,1366149.55542865
sub-0350,1356021.27989316
sub-0351,1525504.36208153
sub-0352,1485591.30802826
sub-0353,1408843.49813774
sub-0354,1425894.12476491
sub-0355,1444709.08951521
sub-0356,1379103.3038063
sub-0357,1258394.56293168
sub-0358,1556778.30907432
sub-0359,1536397.12894738
sub-0360,1500590.82478476
sub-0361,1415475.29247344
sub-0362,1324355.59806168
sub-0363,1273352.00642073
sub-0364,1405470.54201066
sub-0365,1655901.65375447
sub-0366,1451075.53152635
sub-0367,1412095.32276303
sub-0368,1467123.52043581
sub-0369,1420405.69150168
sub-0370,1629312.35181141
sub-0371,1795118.19761872
sub-0372,1547977.68238688
sub-0373,1351337.52490664
sub-0374,1447018.41737759
sub-0375,1413013.99407697
sub-0376,1253202.46513271
sub-0377,1358793.75366867
sub-0378,1543995.91448164
sub-0379,1459225.88168871
